,Date,Open,High,Low,Close,Adj Close,Volume,Price Change,Percent Change,Tweet,text,Tweet URL,Positive,Neutral,Negative,Compound,TESLA
13,2018-02-06,65.042,67.244003,64.699997,66.793999,66.793999,25442000,-1.649994,-2.0,3054,"View from SpaceX Launch Control. Apparently, there is a car in orbit around Earth.
0:25
14.3M views
12K
166.2K
427.7K",https://twitter.com/elonmusk/status/960992715579125760,0.0,1.0,0.0,0.0,0
14,2018-02-07,67.797997,69.199997,67.132004,69.0,69.0,34846000,1.955994,3.0,3056,"Third burn successful. Exceeded Mars orbit and kept going to the Asteroid Belt.
5,898
34.5K
170.7K",https://twitter.com/elonmusk/status/961083704230674438,0.202,0.798,0.0,0.5859,0
15,2018-02-12,63.226002,63.616001,61.25,63.146,63.146,31139000,-0.579998,-1.0,3079,"Replying to 
@nova_road
 and 
@nextspaceflight
A Shortfall of Gravitas
70
248
1,652",https://twitter.com/elonmusk/status/963103592881168384,0.0,1.0,0.0,0.0,0
16,2018-02-16,66.5,68.624001,66.328003,67.098,67.098,28213000,1.800004,3.0,3096,"Replying to 
@Teslarati
Adding software feature to open glovebox automatically when car comes to a stop after a crash. Will look at bonding a thin plastic sheet to the front or back of screen.
325
850
14.2K",https://twitter.com/elonmusk/status/964296857395478529,0.0,0.877,0.123,-0.5994,1
17,2018-02-20,66.893997,68.167999,66.300003,66.954002,66.954002,20047000,-0.456002,-1.0,3105,"Replying to 
@angilly
I don’t get the little ship thing. You can’t show up at Mars in something the size of a rowboat. What if there are Martians? It would be so embarrassing.
602
8,898
58.9K",https://twitter.com/elonmusk/status/965769366422798337,0.0,0.912,0.088,-0.5214,0
18,2018-02-21,67.206001,67.938004,66.634003,66.660004,66.660004,16098000,-0.229995,0.0,3099,"Today’s Falcon launch carries 2 SpaceX test satellites for global broadband. If successful, Starlink constellation will serve least served.
1,397
9,978
65.4K",https://twitter.com/elonmusk/status/966298034978959361,0.153,0.847,0.0,0.5859,0
19,2018-02-22,67.106003,69.487999,66.949997,69.234001,69.234001,34849000,1.549995,2.0,3097,"First two Starlink demo satellites, called Tintin A & B, deployed and communicating to Earth stations
0:06
1.6M views
924
7,222
37.3K",https://twitter.com/elonmusk/status/966703261699854336,0.0,1.0,0.0,0.0,0
20,2018-02-27,71.25,71.998001,70.001999,70.197998,70.197998,23987000,0.197998,0.0,3116,"China’s progress in advanced infrastructure is more than 100 times faster than the US
independent.co.uk
Chinese workers build railway station in just nine hours
Seven trains and 23 diggers were used alongside 1,500 people, to complete the huge construction project 
1,722
10.4K
37.3K",https://twitter.com/elonmusk/status/968608879914270721,0.151,0.849,0.0,0.7269,0
21,2018-02-28,70.514,71.047997,68.444,68.612,68.612,30348500,-0.950004,-1.0,3125,"Replying to 
@Pewwer42
Probably about a tenth of the cost and a fifth of the time
53
59
732",https://twitter.com/elonmusk/status/968707151815376897,0.0,1.0,0.0,0.0,0
22,2018-03-05,66.477997,67.550003,65.858002,66.669998,66.669998,19119000,0.506004,1.0,3126,"Falcon 9 flight 50 launches tonight, carrying Hispasat for Spain. At 6 metric tons and almost the size of a city bus, it will be the largest geostationary satellite we’ve ever flown.
1,452
9,391
62.3K",https://twitter.com/elonmusk/status/970747812311740416,0.0,1.0,0.0,0.0,0
23,2018-03-06,66.75,67.274002,65.405998,65.639999,65.639999,21428500,-0.276001,0.0,3143,"Replying to 
@SpaceX
Very proud of the SpaceX team! Can’t believe it’s been fifty Falcon 9 launches already. Just ten years ago, we couldn’t even reach orbit with little Falcon 1.
515
3,069
28.8K",https://twitter.com/elonmusk/status/970914681069039617,0.13,0.87,0.0,0.5838,0
24,2018-03-07,65.087997,66.5,64.348,66.459999,66.459999,25036500,-0.774002,-1.0,3133,"I just realized there is a jazz hands emoji 
2,810
14.7K
131.2K",https://twitter.com/elonmusk/status/971224396890124288,0.0,1.0,0.0,0.0,0
25,2018-03-08,66.571999,66.660004,65.253998,65.82,65.82,17831000,0.160004,0.0,3142,"Replying to 
@verge
Every time Alexa laughs, an angel dies, so thank goodness …
217
1,475
16.2K",https://twitter.com/elonmusk/status/971550967018614784,0.41,0.59,0.0,0.8664,0
26,2018-03-09,64.82,65.697998,64.473999,65.433998,65.433998,27534000,-0.962006,-1.0,3134,"Adjusting The Boring Company plan: all tunnels & Hyperloop will prioritize pedestrians & cyclists over cars
1,539
12.1K
77.6K",https://twitter.com/elonmusk/status/972233079342297088,0.0,0.887,0.113,-0.3182,0
27,2018-03-12,65.722,69.442001,65.300003,69.101997,69.101997,41320000,3.744003,6.0,3171,"Replying to 
@idonevenknowho
Great idea!
62
25
405",https://twitter.com/elonmusk/status/972996509477216256,0.386,0.614,0.0,0.6588,0
28,2018-03-14,67.351997,67.961998,64.786003,65.325996,65.325996,39837000,-1.480003,-2.0,3160,"Thud!
2,209
3,396
40.3K",https://twitter.com/elonmusk/status/973857445683462145,0.0,1.0,0.0,0.0,0
29,2018-03-15,65.875999,66.57,64.220001,65.120003,65.120003,32824000,-1.391998,-2.0,3163,"Replying to 
@TheOnion
Oh you guys ...
257
1,024
25K",https://twitter.com/elonmusk/status/974355745993969664,0.0,1.0,0.0,0.0,0
30,2018-03-19,63.299999,64.150002,61.933998,62.712002,62.712002,37421500,-1.330001,-2.0,3174,"Learning how to pour flaming absinthe over a tower of glasses in a Jerusalem speakeasy.… https://instagram.com/p/BggsS4gAJ9v/
697
1,009
13.4K",https://twitter.com/elonmusk/status/975796402675703809,0.0,1.0,0.0,0.0,0
31,2018-03-20,62.973999,63.25,61.751999,62.110001,62.110001,23821500,-0.900002,-1.0,3173,"Paid respects to Masada earlier today. Live free or die. https://instagram.com/p/BghgFOWgB2_/
595
923
10.6K",https://twitter.com/elonmusk/status/975919977495543808,0.273,0.537,0.19,0.1779,0
32,2018-03-21,62.049999,64.487999,62.037998,63.306,63.306,29792000,1.237999,2.0,3177,"Petra and Mars https://instagram.com/p/BglRR6EgB8j/
418
645
7,783",https://twitter.com/elonmusk/status/976418373457215488,0.0,1.0,0.0,0.0,0
33,2018-03-22,62.778,63.764,61.636002,61.82,61.82,24699000,-0.723999,-1.0,3180,"Maybe there should be 2 providers for Chicago advanced transit. Monopolies are so boring ...
teslarati.com
Elon Musk’s Boring Co. chosen as final two in Chicago-O’Hare tunnel project bid
Elon Musk’s The Boring Company has outlasted all but one of its competitors in its bid to create a downtown Chicago-O’Hare tunnel system. All that remains between what could potentially be the...
572
2,550
20.4K",https://twitter.com/elonmusk/status/976661622235152384,0.061,0.862,0.077,-0.0376,1
34,2018-03-23,62.25,62.25,60.09,60.307999,60.307999,33274500,-1.514,-2.0,3178,"Replying to 
@brianacton
What’s Facebook?
1,153
12.8K
43K",https://twitter.com/elonmusk/status/977209817012977665,0.0,1.0,0.0,0.0,0
35,2018-03-26,61.467999,61.518002,58.271999,60.835999,60.835999,41876000,-0.731998,-1.0,3211,"New Boring Company merch coming soon. Lifesize LEGO-like interlocking bricks made from tunneling rock that you can use to create sculptures & buildings. Rated for California seismic loads, so super strong, but bored in the middle, like an aircraft wing spar, so not heavy.
1,760
8,152
64.7K",https://twitter.com/elonmusk/status/978140940241059840,0.182,0.74,0.078,0.6989,0
36,2018-03-27,60.799999,60.854,55.436001,55.835999,55.835999,69360000,-0.664002,-1.0,3209,"From my Mom: every time I use irony, I lose a friend
1,734
7,817
66.7K",https://twitter.com/elonmusk/status/978502181069365249,0.168,0.628,0.204,0.0772,0
37,2018-03-28,52.916,53.736,50.419998,51.556,51.556,105007000,-7.118,-12.0,3210,"Turns out joking about being a “rock” star because of digging tunnels (through, uh, rock — hello??) is deeply underappreciated
2,095
8,103
94K",https://twitter.com/elonmusk/status/978895114524352513,0.093,0.907,0.0,0.3094,0
38,2018-04-02,51.251999,52.066002,48.917999,50.495998,50.495998,80570000,-2.125999,-4.0,3234,"Replying to 
@amir
Uhh, hello, I need to build cars
135
349
3,059",https://twitter.com/elonmusk/status/980913452976816128,0.0,1.0,0.0,0.0,0
39,2018-04-05,57.868,61.251999,57.639999,61.144001,61.144001,95605500,3.577999,6.0,3249,"Chris Paine AI movie premiering tonight
deadline.com
‘Do You Trust This Computer?’ Trailer: Documentary Exploring Perils Of Artificial Intelligence Sets...
A new documentary Do You Trust This Computer? makes its world premiere Thursday at Regency Village Theater in Westwood.
388
2,419
12.8K",https://twitter.com/elonmusk/status/982017761575518208,0.205,0.795,0.0,0.8767,0
40,2018-04-06,60.200001,61.855999,59.099998,59.860001,59.860001,67601500,0.604,1.0,3246,"“You are my creator, but I am your master” — Mary Shelley
1,395
6,263
45.4K",https://twitter.com/elonmusk/status/982168099582431232,0.0,1.0,0.0,0.0,0
41,2018-04-09,60.074001,61.900002,57.841999,57.931999,57.931999,51249000,0.044003,0.0,3248,"Free viewing ends in about 5 hours
Elon Musk
@elonmusk
 · Apr 5, 2018
Nothing will affect the future of humanity more than digital super-intelligence. Watch Chris Paine’s new AI movie for free until Sunday night at http://doyoutrustthiscomputer.org/watch
Show this thread
745
2,618
15.2K",https://twitter.com/elonmusk/status/983159549116010496,0.136,0.864,0.0,0.765,0
42,2018-04-10,59.793999,61.419998,58.736,60.939999,60.939999,54949000,-0.480004,-1.0,3268,"Replying to 
@volgaksoy
 and 
@visageofscott
Place your bets …
170
193
1,350",https://twitter.com/elonmusk/status/983775391851528192,0.0,1.0,0.0,0.0,0
43,2018-04-11,60.147999,61.796001,59.931999,60.186001,60.186001,37414500,0.376003,1.0,3275,"Replying to 
@AshleyEsqueda
 @petesjca
 and 2 others
Should be fully fixed within the next few days
49
28
544",https://twitter.com/elonmusk/status/983863209491775488,0.0,1.0,0.0,0.0,0
44,2018-04-12,60.464001,60.790001,58.736,58.816002,58.816002,38044000,-1.006,-2.0,3269,"Replying to 
@TEDTalks
 and 
@i_firth
Norway has some really cool tunnels and bridges
180
324
6,801",https://twitter.com/elonmusk/status/984498847232622592,0.147,0.853,0.0,0.3804,0
45,2018-04-13,60.720001,60.790001,59.195999,60.068001,60.068001,36636000,0.0,0.0,3266,"Replying to 
@timkhiggins
Yes, excessive automation at Tesla was a mistake. To be precise, my mistake. Humans are underrated.
1,151
8,050
36.8K",https://twitter.com/elonmusk/status/984882630947753984,0.102,0.717,0.181,-0.2732,1
46,2018-04-16,59.799999,59.931999,57.801998,58.242001,58.242001,31692500,-0.858002,-1.0,3281,"And then land on a bouncy house
1,919
5,784
63.5K",https://twitter.com/elonmusk/status/985684755877265408,0.0,1.0,0.0,0.0,0
47,2018-04-17,57.773998,58.433998,56.501999,57.537998,57.537998,35000000,-1.498001,-2.0,3280,"Driving a Model 3 and playing
youtube.com
Lil Wayne - Drop The World ft. Eminem (Official Music Video) ft....
REMASTERED IN HD!#LilWayne #DropTheWorld #RemasteredMusic video by Lil Wayne performing Drop The World. (C) 2010 Cash Money Records Inc.
911
1,762
13.7K",https://twitter.com/elonmusk/status/986322814985584640,0.041,0.858,0.101,-0.4003,0
48,2018-04-18,58.216,60.048,57.632,58.669998,58.669998,32788500,1.614002,3.0,3278,"Tesla batteries are currently live & delivering power at 662 locations in Puerto Rico. Team is working 24/7 to activate several hundred more.
NowThis
@nowthisnews
 · Apr 18, 2018
BREAKING: All of Puerto Rico is currently without power
1,961
32.5K
143.9K",https://twitter.com/elonmusk/status/986746909153869824,0.0,1.0,0.0,0.0,1
49,2018-04-23,58.257999,58.324001,56.466,56.674,56.674,24467000,-1.671997,-3.0,3290,"Replying to 
@MrAdamPrater
Mostly not
26
26
401",https://twitter.com/elonmusk/status/988214241797685248,0.0,1.0,0.0,0.0,0
50,2018-04-25,56.700001,57.032001,55.450001,56.138,56.138,20068000,-0.385998,-1.0,3291,"Oh btw I’m building a cyborg dragon
14.4K
101.2K
408K",https://twitter.com/elonmusk/status/989198118666162176,0.0,1.0,0.0,0.0,0
51,2018-04-26,55.75,57.158001,55.299999,57.096001,57.096001,21780000,0.126,0.0,3292,"Replying to 
@GameOfThrones
Don’t make me use my space lasers …
406
3,906
38.3K",https://twitter.com/elonmusk/status/989362154242428928,0.0,1.0,0.0,0.0,0
52,2018-04-27,57.074001,58.894001,56.765999,58.816002,58.816002,21823000,1.736,3.0,3294,"Replying to 
@WorldAndScience
Almost ready to test the new Boring Company / SpaceX hyperpod prototype. Exciting video guaranteed.
397
1,845
24.3K",https://twitter.com/elonmusk/status/989986716004958208,0.21,0.7,0.089,0.4779,0
53,2018-04-30,58.722,59.745998,58.5,58.779999,58.779999,21141000,0.851997,1.0,3300,"I have prehensile eyebrows
1,751
2,902
36.1K",https://twitter.com/elonmusk/status/990854677926297600,0.0,1.0,0.0,0.0,0
54,2018-05-01,58.702,60.164001,58.644001,59.984001,59.984001,23128000,0.418003,1.0,3319,"Replying to 
@Gfilche
 and 
@Tesla
Ok
118
212
4,660",https://twitter.com/elonmusk/status/991130075889205248,0.216,0.784,0.0,0.296,1
55,2018-05-02,59.714001,61.369999,59.556,60.23,60.23,44852000,1.205998,2.0,3304,"Woke Frisbee https://instagram.com/p/BiSiqt2AN8p/?utm_source=twitter…
320
404
4,895",https://twitter.com/elonmusk/status/991788131153215489,0.0,1.0,0.0,0.0,0
56,2018-05-03,55.757999,57.608002,55.046001,56.889999,56.889999,86760500,-3.761997,-6.0,3303,"You’re most welcome
HyperChange
@HyperChangeTV
 · May 2, 2018
 $TSLA Q1 2018 earnings & conference call recap 
still cannot believe we got to represent retail investors on the call. thank you so much to all who supported, and thank you to @elonmusk & @tesla for taking a chance #LONGTESLA
https://youtu.be/zMAPRbT-sh4
377
549
9,228",https://twitter.com/elonmusk/status/991944456466202624,0.208,0.792,0.0,0.8908,1
57,2018-05-04,56.599998,59.372002,55.903999,58.818001,58.818001,42847000,1.764,3.0,3301,"Please ignore this thread unless you’re interested in a tedious discussion about Tesla stock
1,447
3,885
33.7K",https://twitter.com/elonmusk/status/992361223793487872,0.233,0.651,0.116,0.3612,1
58,2018-05-07,59.5,61.192001,59.034,60.554001,60.554001,43391000,1.819999,3.0,3331,"Replying to 
@drmistercody
The Boring Company will be using dirt from tunnel digging to create bricks for low cost housing
467
2,495
24.9K",https://twitter.com/elonmusk/status/993546386518966275,0.075,0.681,0.244,-0.5719,0
